GEO/TIME;2004;2005;2006;2007;2008;2009;2010;2011;2012
Belgium;:;:;:;:;:;:;:;:;:
Bulgaria;:;:;:;:;:;:;:;:;:
Czech Republic;:;:;:;:;:;:;:;:;:
Denmark;:;:;:;:;:;:;:;:;:
Germany (until 1990 former territory of the FRG);:;:;:;:;:;15.989.287;:;:;:
Estonia;:;8.060,63;8.713,46;9.668,49;9.350,60;:;:;:;:
Ireland;:;:;:;:;:;:;:;:;:
France;:;:;:;:;552.383;514.481;525.185;529.543;:
Croatia;:;19.957;20.520;21.604;21.861;:;:;:;:
Italy;:;:;:;:;:;:;:;:;:
Cyprus;:;:;:;:;6.700,30;8.658;8.598,50;8.590,10;:
Latvia;:;:;:;:;:;11.179,32;10.945,60;10.629,70;:
Lithuania;:;:;:;:;:;:;:;:;:
Hungary;:;:;:;:;39.748,44;:;:;:;:
Malta;:;:;:;:;:;1.714;:;:;:
Netherlands;:;:;:;:;:;:;:;:;:
Austria;:;:;:;:;:;:;:;:;:
Poland;:;:;:;169.500;179.603;177.294;187.979;195.864;:
Portugal;:;:;:;:;:;:;:;:;:
Romania;:;:;:;:;47.592,50;:;:;:;:
Slovenia;:;:;:;:;17.447;:;:;:;:
Slovakia;:;:;:;:;:;:;:;:;:
Finland;:;:;:;:;52.980;:;:;:;:
Sweden;:;75.197;75.346;77.456;76.836;77.355;77.604;:;:
United Kingdom;:;499.397;507.504;512.992;508.907;506.995;493.735;:;:
Norway;:;:;:;:;:;43.282;43.281;43.655;:
Switzerland;:;:;:;:;:;:;:;:;:
Former Yugoslav Republic of Macedonia, the;:;:;:;:;:;:;:;:;:
Turkey;:;:;:;:;:;:;:;:;:
Canada;:;:;:;:;:;333.287;:;:;:
United States;:;:;:;4.876.026;4.702.394;:;:;:;:
Georgia;:;:;:;:;:;:;:;:;:
