GEO/TIME;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Belgium;489.346;484.915;530.941;529.606;540.542;479.920;551.661;577.382;:;:
Bulgaria;150.803;168.102;182.095;348.887;351.433;201.304;186.092;191.430;196.614;:
Czech Republic;123.579;125.166;120.370;129.443;141.954;160.614;168.372;172.787;174.311;:
Denmark;:;:;131.605;252.183;184.323;:;:;:;:;:
Germany (until 1990 former territory of the FRG);3.266.826;3.342.122;3.467.961;3.148.163;3.090.040;3.807.175;2.916.260;3.173.634;3.082.504;2.952.431
Estonia;16.514;:;25.372;30.916;24.590;9.948;10.294;17.058;19.422;19.690
Ireland;149.635;:;:;180.754;:;:;:;104.022;77.506;74.960
Greece;:;:;:;:;:;:;:;:;:;:
Spain;:;:;1.660.627;1.633.806;1.188.485;971.177;1.000.010;817.688;710.638;:
France;2.013.709;:;2.000.549;2.064.543;2.050.283;2.269.011;2.209.454;2.160.920;1.857.013;:
Croatia;99.863;101.916;114.680;108.015;96.712;53.569;46.437;48.883;40.825;46.563
Italy;:;:;:;2.514.905;2.193.822;2.176.940;1.971.830;1.764.592;1.403.043;:
Latvia;57.474;69.704;97.399;107.003;54.759;17.288;26.656;43.468;50.135;55.808
Lithuania;134.612;173.644;185.271;220.236;191.768;136.803;161.266;132.117;:;:
Luxembourg;48.273;48.517;50.837;51.332;52.359;47.264;:;:;:;:
Hungary;188.488;:;151.670;136.032;176.678;:;61.324;76.528;106.671;:
Netherlands;483.885;465.196;483.999;505.643;499.921;:;:;:;:;:
Austria;311.292;:;308.594;298.182;293.697;319.403;328.563;356.145;336.010;:
Poland;833.021;979.082;923.783;1.128.684;1.280.633;864.295;873.098;928.457;908.906;987.809
Portugal;:;:;:;:;:;181.132;248.813;177.183;110.002;:
Romania;149.290;:;312.515;436.349;586.476;328.880;309.952;176.555;242.025;:
Slovenia;58.945;60.531;59.885;67.791;71.037;57.391;60.777;59.813;49.700;51.968
Slovakia;71.954;:;:;146.292;151.814;148.370;126.663;130.772;130.818;:
Finland;143.160;:;146.201;126.022;140.216;90.923;112.418;126.651;111.664;103.450
Sweden;297.405;297.050;300.502;321.705;257.806;212.695;:;326.301;:;:
United Kingdom;2.668.449;:;:;:;2.112.000;1.968.000;1.996.324;1.907.411;:;:
Iceland;13.927;22.141;:;:;:;:;:;:;:;:
Liechtenstein;1.790;:;1.890;1.990;2.005;1.620;1.782;:;:;1.920
Norway;145.538;:;142.572;162.970;138.241;125.903;159.374;168.552;171.828;176.019
Switzerland;267.476;260.682;269.700;284.000;288.000;266.500;296.600;328.000;334.000;:

