GEO/TIME;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Belgium;911;856;913;1.093;1.207;984;1.020;717;:;:
Bulgaria;1.950;2.196;1.412;1.804;2.301;1.209;776;732;743;:
Czech Republic;1.270;842;901;914;1.166;848;739;822;1.084;:
Denmark;:;:;709;787;930;:;:;:;:;:
Germany (until 1990 former territory of the FRG);5.398;5.426;5.710;5.471;5.886;5.612;5.219;5.042;5.139;5.824
Estonia;58;96;160;240;144;112;168;95;156;232
Ireland;529;:;:;673;:;:;:;144;252;238
Greece;:;:;:;:;:;:;:;:;:;:
Spain;:;:;3.847;4.213;3.882;2.967;2.593;2.859;1.777;:
France;4.859;5.442;5.850;6.171;6.624;7.434;5.900;6.800;6.074;:
Croatia;286;379;377;434;391;484;195;173;217;353
Italy;:;:;:;4.182;4.260;3.427;3.785;3.528;2.314;:
Cyprus;72;91;112;174;215;134;350;161;119;64
Latvia;720;662;737;749;672;311;397;389;314;481
Lithuania;1.146;1.438;1.235;1.177;919;572;538;585;:;:
Luxembourg;126;158;168;176;225;:;:;:;:;:
Hungary;698;501;737;624;1.123;674;657;649;572;:
Malta;:;:;:;:;36;42;76;393;99;:
Netherlands;933;1.135;792;1.149;1.209;:;:;:;:;:
Austria;930;658;827;771;950;654;760;602;722;:
Poland;2.667;4.020;4.417;4.852;5.233;3.892;3.939;4.604;4.361;4.937
Portugal;:;:;:;:;:;984;1.037;711;579;:
Romania;1.284;:;2.229;3.922;7.263;1.586;1.423;1.405;2.536;:
Slovenia;143;137;153;148;197;134;143;123;94;154
Slovakia;332;358;:;496;866;1.010;818;607;570;:
Finland;511;414;448;496;596;596;513;398;535;388
Sweden;1.118;1.198;1.361;962;1.191;1.162;:;1.674;:;:
United Kingdom;13.233;13.137;:;:;11.670;9.542;8.920;8.529;:;:
Iceland;128;213;:;:;:;:;:;:;:;:
Liechtenstein;9;:;6;8;4;10;1;:;:;3
Norway;1.099;1.286;974;1.208;1.323;1.192;1.514;1.373;1.275;1.316
Switzerland;2.770;2.785;2.700;2.600;3.200;2.800;3.100;4.000;4.300;:
Former Yugoslav Republic of Macedonia, the;:;68;52;79;72;158;473;341;514;:
Turkey;31.255;42.917;38.835;35.675;32.429;18.848;23.336;32.844;34.588;34.456
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
