GEO/TIME;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
Belgium;:;127.610;129.130;133.600;132.590;131.470;131.170;:;:;:
Bulgaria;:;:;:;:;:;9.773,2;9.632,8;9.480,6;10.482,6;:
Czech Republic;81.683,7;84.248;85.645;87.661;88.487;87.287;79.944;80.304;78.719;:
Denmark;:;:;70.800;69.289;69.368;:;:;:;:;:
Germany (until 1990 former territory of the FRG);:;:;:;:;:;:;:;:;:;:
Estonia;:;:;:;:;:;:;:;:;:;:
Ireland;:;:;:;:;:;:;:;33.686,07;:;:
Greece;:;:;:;:;:;:;:;:;:;:
Spain;385.494;392.596;392.450;405.083;405.386;410.192;395.332;391.711;377.544;:
France;:;:;:;:;:;865.567;874.546;863.752;866.611;:
Croatia;3.390;3.403;3.537;3.808;4.093;3.438;3.284;29.455;30.586;30.859
Italy;:;:;:;:;:;:;842.090;817.802;730.678;:
Latvia;14.794,7;15.582,4;17.317,65;19.080,21;17.168,8;15.092,86;15.012;14.169,99;14.277,2;14.465,9
Lithuania;:;:;43.254,7;42.842,5;41.718,8;38.980,6;35.623,8;32.917,9;:;:
Luxembourg;:;:;:;:;:;:;:;:;:;:
Hungary;:;:;:;:;:;:;:;:;:;:
Netherlands;:;:;:;:;:;:;144.200;144.400;144.400;:
Austria;80.504;81.230;81.461;83.211;:;:;:;:;:;:
Poland;199.118;202.763;28.148;27.359;300.294;309.414;319.504;241.540;251.633;:
Portugal;:;:;:;:;:;:;:;:;:;:
Romania;9.437,8;11.811,6;11.735;12.156;:;12.805;11.955;15.529;16.901;17.082
Slovenia;:;25.570;26.080;27.590;28.024;28.971;28.819;:;:;:
Slovakia;9.801;9.224;:;7.936,3;7.308,3;5.502,2;5.372,2;5.418,9;5.211,9;:
Finland;69.445;70.350;70.895;72.225;71.840;72.770;73.185;73.930;73.971;73.816
Sweden;106.616;106.853;106.546;108.965;107.844;108.859;108.685;:;:;:
United Kingdom;732.000;731.000;:;:;:;:;:;:;689.441;:
Iceland;5.709;6.101;:;:;:;:;:;:;:;:
Liechtenstein;:;:;:;:;:;:;:;:;:;:
Norway;58.247;59.509;60.397;62.158;63.363;64.014;64.700;66.055;65.934;66.729
Switzerland;84.798;85.091;86.044;87.074;88.291;90.232;91.728;92.996;94.910;:
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
