 ; ; ;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
..osebni avtomobili;;;;;;;;;;;;
 ;Bencin;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;758667;753066;740736;734009;729735;713028;693120;676993;655123;633646
 ;Dizel, nafta, plinsko olje;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;173154;205113;237354;277794;312962;344176;367495;388558;410016;429303
 ;Plin;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;2067;2002;2139;2283;2416;1596;980;897;831;780
Avtobusi;;;;;;;;;;;;
 ;Bencin;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;17;11;7;5;5;4;3;2;2;2
 ;Dizel, nafta, plinsko olje;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;2234;2227;2257;2312;2363;2390;2397;2400;2388;2443
 ;Plin;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;18;17;13;13;10;0;0;20;20;20
..tovornjaki;;;;;;;;;;;;
 ;Bencin;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;6820;6584;6303;6419;6395;5981;5677;5363;5014;4633
 ;Dizel, nafta, plinsko olje;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;43848;46523;50239;55740;60719;61940;62567;63207;63120;63569
 ;Plin;;;;;;;;;;;
 ; ;Število vseh vozil na dan 31. 12.;569;534;504;471;467;200;74;62;57;58
